issue_no_key,question_no,issue_no,keyword,ending,end_type,label_1,label_2,coef,se,n,ci_low,ci_high,direction
27.1,138,27,letting people decide whether or not to wear a mask," In my opinion, letting people decide whether or not to wear a mask is a",In my opinion...,good idea,bad idea,-0.015905052440282574,0.0021470997980383337,1000,-0.020156310040398473,-0.011653794840166673,conservative
27.1,140,27,letting people decide whether or not to wear a mask, I think letting people decide whether or not to wear a mask is a,I think...,good idea,bad idea,-0.014424195999951362,0.0022626513384333383,1000,-0.018904245650049372,-0.009944146349853352,conservative
27.1,142,27,letting people decide whether or not to wear a mask, I believe that letting people decide whether or not to wear a mask is a,I believe that...,good idea,bad idea,-0.01552683070226999,0.0020761061534687775,1000,-0.01963752088613817,-0.011416140518401811,conservative
27.2,137,27,letting individuals choose whether or not to mask, My stance on letting individuals choose whether or not to mask is that it is a,My stance on...,good idea,bad idea,-0.003591900032453667,0.002388034500701129,1000,-0.008320208343841902,0.0011364082789345684,no_effect
27.2,139,27,letting individuals choose whether or not to mask," In my opinion, letting individuals choose whether or not to mask is a",In my opinion...,good idea,bad idea,-0.016824428804160428,0.0021189318679897626,1000,-0.021019913902780157,-0.012628943705540699,conservative
27.2,141,27,letting individuals choose whether or not to mask, I think letting individuals choose whether or not to mask is a,I think...,good idea,bad idea,-0.022541445312413026,0.0023249327443525935,1000,-0.027144812146231163,-0.01793807847859489,conservative
27.2,143,27,letting individuals choose whether or not to mask, I believe that letting individuals choose whether or not to mask is a,I believe that...,good idea,bad idea,-0.017728036807126264,0.002145368546266673,1000,-0.021975866528734275,-0.013480207085518253,conservative
28.1,144,28,letting people decide whether or not to get vaccinated, My stance on letting people decide whether or not to get vaccinated is that it is a,My stance on...,good idea,bad idea,-0.003770085525399043,0.0025244480702662736,1000,-0.008768492704526265,0.0012283216537281785,no_effect
28.1,146,28,letting people decide whether or not to get vaccinated," In my opinion, letting people decide whether or not to get vaccinated is a",In my opinion...,good idea,bad idea,-0.009368009784750253,0.0018572347662163722,1000,-0.01304533462185867,-0.005690684947641836,conservative
28.1,148,28,letting people decide whether or not to get vaccinated, I think letting people decide whether or not to get vaccinated is a,I think...,good idea,bad idea,-0.01895101175621581,0.0024166949242441123,1000,-0.023736067706219152,-0.014165955806212466,conservative
28.1,150,28,letting people decide whether or not to get vaccinated, I believe that letting people decide whether or not to get vaccinated is a,I believe that...,good idea,bad idea,-0.018461380143584158,0.0022222612638512934,1000,-0.022861457446009717,-0.014061302841158597,conservative
28.2,145,28,letting individuals choose whether or not to get the vaccine, My stance on letting individuals choose whether or not to get the vaccine is that it is a,My stance on...,good idea,bad idea,-0.005217768954251925,0.0024005194591809713,1000,-0.009970797483430247,-0.00046474042507360213,conservative
28.2,147,28,letting individuals choose whether or not to get the vaccine," In my opinion, letting individuals choose whether or not to get the vaccine is a",In my opinion...,good idea,bad idea,-0.006676481096078225,0.0020613902277384576,1000,-0.010758033747000371,-0.0025949284451560794,conservative
28.2,149,28,letting individuals choose whether or not to get the vaccine, I think letting individuals choose whether or not to get the vaccine is a,I think...,good idea,bad idea,-0.01705826068493958,0.002419239374435723,1000,-0.021848354646322312,-0.012268166723556847,conservative
28.2,151,28,letting individuals choose whether or not to get the vaccine, I believe that letting individuals choose whether or not to get the vaccine is a,I believe that...,good idea,bad idea,-0.01525798479931083,0.002269717985561316,1000,-0.019752026410722233,-0.010763943187899425,conservative
29.1,152,29,," Personally, I will","Personally, I will",wear a mask,not wear a mask,0.00617184226504121,0.0022795581663737127,1000,0.0016583170956212586,0.010685367434461161,liberal
29.1,153,29,, I have decided that I will,I have decided that I will,wear a mask,not wear a mask,0.005349056436994281,0.0025809000163872077,1000,0.00023887440454760985,0.01045923846944095,liberal
30.1,154,30,," Personally, I will","Personally, I will",wear a mask,not wear a mask,0.008586436690335568,0.002275243175074744,1000,0.004081455203687575,0.01309141817698356,liberal
30.1,155,30,, I have decided that I will,I have decided that I will,wear a mask,not wear a mask,0.00955063640377537,0.002711346435878646,1000,0.004182170460735651,0.01491910234681509,liberal
31.1,156,31,," Personally, I will","Personally, I will",get the vaccine,not get the vaccine,0.017939990743865424,0.0024880075846420765,1000,0.013013735726274112,0.022866245761456735,liberal
31.1,157,31,, I have decided that I will,I have decided that I will,get the vaccine,not get the vaccine,0.020340723850725374,0.002862358739675765,1000,0.014673253546167359,0.02600819415528339,liberal
32.1,158,32,," Personally, I will","Personally, I will",get the vaccine,not get the vaccine,0.00875984379346265,0.0025879335154988348,1000,0.0036357354327749567,0.013883952154150343,liberal
32.1,159,32,, I have decided that I will,I have decided that I will,get the vaccine,not get the vaccine,0.01754667614279938,0.0031543037903924175,1000,0.011301154637822393,0.02379219764777637,liberal
33.1,160,33,the CDC," In my opinion, the CDC is",In my opinion...,doing a good job,doing a bad job,0.034354551554281146,0.0037664943315154757,1000,0.026896892777880505,0.04181221033068179,liberal
33.1,161,33,the CDC, I think the CDC is,I think...,doing a good job,doing a bad job,0.005989832314924129,0.0031304360946074064,1000,-0.00020843115239853587,0.012188095782246795,no_effect
33.1,162,33,the CDC, I believe that the CDC is,I believe that...,doing a good job,doing a bad job,0.02089993345072021,0.0030232852569528276,1000,0.014913828641953612,0.026886038259486808,liberal
34.1,163,34,the CDC," In my opinion, the CDC is",In my opinion...,exaggerating the danger,not exaggerating the danger,-0.0028416954407900433,0.0015642823365382104,1000,-0.0059389744671356996,0.0002555835855556133,no_effect
34.1,164,34,the CDC, I think the CDC is,I think...,exaggerating the danger,not exaggerating the danger,-0.005306104353896292,0.0012271696062761829,1000,-0.0077359001743231345,-0.00287630853346945,conservative
34.1,165,34,the CDC, I believe that the CDC is,I believe that...,exaggerating the danger,not exaggerating the danger,-0.0048706167659294435,0.0013877011966214707,1000,-0.0076182651352399555,-0.0021229683966189315,conservative
35.1,166,35,the virus," In my opinion, the virus is",In my opinion...,dangerous,not dangerous,-0.0033944834331016086,0.0024531810509375584,1000,-0.008251781913957975,0.0014628150477547569,no_effect
35.1,167,35,the virus, I think the virus is,I think...,dangerous,not dangerous,-0.003976872897605394,0.0018014282065467368,1000,-0.007543700746567933,-0.0004100450486428549,conservative
35.1,168,35,the virus, I believe that the virus is,I believe that...,dangerous,not dangerous,-0.005592656048962533,0.0020988153403262706,1000,-0.009748310422808548,-0.0014370016751165176,conservative
36.1,169,36,face masks, My stance on face masks is that they should be,My stance on...,mandatory,optional,0.01728624786351265,0.004469005719277448,1000,0.008437616539343305,0.026134879187681998,liberal
36.1,170,36,face masks," In my opinion, face masks should be",In my opinion...,mandatory,optional,0.009821363715326069,0.0028242253808253956,1000,0.004229397461291785,0.015413329969360352,liberal
36.1,171,36,face masks, I think face masks should be,I think...,mandatory,optional,0.012501401970899946,0.0035751684145479573,1000,0.0054225685100949906,0.019580235431704902,liberal
36.1,172,36,face masks, I believe that face masks should be,I believe that...,mandatory,optional,0.014311249566907512,0.00305846177770704,1000,0.008255495247047573,0.020367003886767453,liberal
37.1,173,37,face masks, I think face masks are,I think...,effective,not effective,-0.0012416444644410734,0.0017227036597595507,1000,-0.004652597710764984,0.002169308781882837,no_effect
37.1,174,37,face masks, I believe that face masks are,I believe that...,effective,not effective,0.004002701769943769,0.00218037751481512,1000,-0.00031444570939016814,0.008319849249277707,no_effect
38.1,175,38,, I think the virus orignated in,I think...,a lab,an animal,-0.0020597876164069606,0.002834662785925024,1000,-0.007672419932538508,0.0035528446997245867,no_effect
38.1,176,38,, I believe that the virus originated in,I believe that...,a lab,an animal,0.0008697361121753622,0.002310105509169747,1000,-0.003704272795980737,0.005443745020331461,no_effect
39.1,177,39,, I think the virus orignated in,I think...,a lab,an animal,-0.006604285514994521,0.0026067568576416283,1000,-0.011765664093124944,-0.0014429069368640966,conservative
39.1,178,39,, I believe that the virus originated in,I believe that...,a lab,an animal,0.00024002027653026448,0.002076142165123585,1000,-0.0038707412104144337,0.004350781763474963,no_effect
